AÑO,MES,VIAJES_TOTALES,VIAJES_RECHAZADOS,RECHAZO_%_VIAJES
2022,ENERO,1841,219,11.9
2022,FEBRERO,1613,100,6.2
2022,MARZO,1811,141,7.79
2022,ABRIL,1710,151,8.83
2022,MAYO,1496,107,7.15
2022,JUNIO,1537,134,8.72
2022,JULIO,1560,83,5.32
2022,AGOSTO,1634,93,5.69
2022,SEPTIEMBRE,1749,158,9.03
2022,OCTUBRE,1772,153,8.63
2022,NOVIEMBRE,2009,137,6.82
2022,DICIEMBRE,2506,162,6.46
2023,ENERO,1998,119,5.96
2023,FEBRERO,1611,124,7.7
2023,MARZO,1940,156,8.04
2023,ABRIL,1739,139,7.99
2023,MAYO,1705,132,7.74
2023,JUNIO,1636,109,6.66
2023,JULIO,1762,112,6.36
2023,AGOSTO,1854,95,5.12
2023,SEPTIEMBRE,1669,108,6.47
2023,OCTUBRE,1910,137,7.17
2023,NOVIEMBRE,2182,138,6.32
2023,DICIEMBRE,2231,143,6.41
2024,ENERO,1660,119,7.17
2024,FEBRERO,1406,129,9.17
2024,MARZO,1396,86,6.16
2024,ABRIL,1434,79,5.51
2024,MAYO,1388,95,6.84
2024,JUNIO,1360,64,4.71
2024,JULIO,1547,62,4.01
2024,AGOSTO,1519,87,5.73
2024,SEPTIEMBRE,1405,56,3.99
2024,OCTUBRE,1611,84,5.21
2024,NOVIEMBRE,1645,67,4.07
2024,DICIEMBRE,2119,88,4.15
2025,ENERO,1664,102,6.13
2025,FEBRERO,1266,82,6.48
2025,MARZO,1432,105,7.33
2025,ABRIL,1395,64,4.59
2025,MAYO,1375,72,5.24
2025,JUNIO,1283,58,4.52
2025,JULIO,1468,63,4.29
2025,AGOSTO,1505,76,5.05
2025,SEPTIEMBRE,1554,54,3.47
2025,OCTUBRE,1662,96,5.78
2025,NOVIEMBRE,1817,100,5.5
2025,DICIEMBRE,2153,104,4.83
